"Unit type ","Unit ","Floor ","Street number ","Street alpha ","Street name ","Street type ","Street direction ","Suburb ","Town/City ","Unit type 2","Unit 2","Floor 2","Street number 2","Street alpha 2","Street name 2","Street type 2","Street direction 2","Suburb 2","Town/City 2","Unit type 3","Unit 3","Floor 3","Street number 3","Street alpha 3","Street name 3","Street type 3","Street direction 3","Suburb 3","Town/City 3","Unit type 4","Unit 4","Floor 4","Street number 4","Street alpha 4","Street name 4","Street type 4","Street direction 4","Suburb 4","Town/City 4","Unit type 5","Unit 5","Floor 5","Street number 5","Street alpha 5","Street name 5","Street type 5","Street direction 5","Suburb 5","Town/City 5","Unit type 6","Unit 6","Floor 6","Street number 6","Street alpha 6","Street name 6","Street type 6","Street direction 6","Suburb 6","Town/City 6","Unit type 7","Unit 7","Floor 7","Street number 7","Street alpha 7","Street name 7","Street type 7","Street direction 7","Suburb 7","Town/City 7","Unit type 8","Unit 8","Floor 8","Street number 8","Street alpha 8","Street name 8","Street type 8","Street direction 8","Suburb 8","Town/City 8","Unit type 9","Unit 9","Floor 9","Street number 9","Street alpha 9","Street name 9","Street type 9","Street direction 9","Suburb 9","Town/City 9","Common name 1","Common name 2","Common name 3","Common name 4","Common name 5","Common name 6","Common name 7","Common name 8","Common name 9","Common name 10","Notice type","Date of issue","Earthquake rating","Seismic work deadline","Priority building","Notice issued by","Heritage status","Area of seismic risk"
"","","","2032","","Takaka Valley","Highway","","","Takaka","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","29/01/2019","0% to less than 20%","29/01/2044","No","Tasman District Council","","Medium"
"","","","","","Waipa Bypass Road","Road","","","Rotorua","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","25/01/2019","0% to less than 20%","25/01/2044","No","Rotorua District Council","","Medium"
"","","","5","","OConnell","Street","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","21/01/2019","20% to less than 34%","21/01/2054","No","Auckland Council","","Low"
"","","","290","","Point Chevalier","Road","","Point Chevalier","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","14/01/2019","0% to less than 20%","14/01/2054","No","Auckland Council","","Low"
"","","","304","","Queen","Street","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","St James Theatre","","","","","","","","","","EPB notice","21/01/2019","20% to less than 34%","21/01/2054","No","Auckland Council","Historic place category 1","Low"
"","","","55","","Seaview","Road","","Seaview","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Warehouse 4","","","","","","","","","","EPB notice","18/01/2019","0% to less than 20%","18/01/2034","No","Hutt City Council","","High"
"","","","55","","Seaview","Road","","Seaview","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Warehouse 3","","","","","","","","","","EPB notice","18/01/2019","0% to less than 20%","18/01/2034","No","Hutt City Council","","High"
"","","","55","","Seaview","Road","","Seaview","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Warehouse 2","","","","","","","","","","EPB notice","18/01/2019","0% to less than 20%","18/01/2034","No","Hutt City Council","","High"
"","","","55","","Seaview","Road","","Seaview","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Warehouse 1","","","","","","","","","","EPB notice","18/01/2019","0% to less than 20%","18/01/2034","No","Hutt City Council","","High"
"","","","67","","Dudley Street","","","Hutt Central","Lower Hutt","","","","69","","Dudley","Street","","Hutt Central","Lower Hutt","APARTMENT","1","","69","","Dudley","Street","","Hutt Central","Lower Hutt","APARTMENT","2","","69","","Dudley","Street","","Hutt Central","Lower Hutt","APARTMENT","3","","69","","Dudley","Street","","Hutt Central","Lower Hutt","APARTMENT","4","","69","","Dudley","Street","","Hutt Central","Lower Hutt","APARTMENT","5","","69","","Dudley","Street","","Hutt Central","Lower Hutt","APARTMENT","6","","69","","Dudley","Street","","Hutt Central","Lower Hutt","","","","","","","","","","","","","","","","","","","","","EPB notice","18/01/2018","0% to less than 20%","18/01/2033","No","Hutt City Council","","High"
"","","","9","","Epiha","Street","","Paraparaumu","Kapiti Coast","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","11/12/2018","Not determined","11/12/2033","No","Kapiti Coast District Council","","High"
"","","","","","Fytfield ","Place","","Paraparaumu","Kapiti Coast","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","05/12/2018","Not determined","05/12/2033","No","Kapiti Coast District Council","","High"
"","","","23","","Rangatira ","Street","","Otaki","Kapiti Coast","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","05/12/2018","Not determined","05/12/2033","No","Kapiti Coast District Council","","High"
"","","","69","","Main","Street","","Otaki","Kapiti Coast","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","05/12/2018","Not determined","05/12/2033","No","Kapiti Coast District Council","","High"
"","","","22","A","Rauparaha ","Street","","Waikanae","Kapiti Coast","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","05/12/2018","Not determined","05/12/2033","No","Kapiti Coast District Council","","High"
"","","","84","","Aotaki","Street","","Otaki","Kapiti Coast","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","05/12/2018","Not determined","05/12/2033","No","Kapiti Coast District Council","","High"
"","","","8","","Amohia","Street","","Paraparaumu","Kapiti Coast","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","29/10/2018","0% to less than 20%","29/10/2033","No","Kapiti Coast District Council","","High"
"","","","12","","Amohia ","Street","","Paraparaumu","Kapiti Coast","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","29/10/2018","0% to less than 20%","29/10/2033","No","Kapiti Coast District Council","","High"
"","","","98","","The  Parade","","","Paekakariki","Kapiti Coast","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","04/12/2018","Not determined","04/12/2033","No","Kapiti Coast District Council","","High"
"","1 to 3","","","","Beach","Road","","Paekakariki","Kapiti Coast","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","04/12/2018","Not determined","04/12/2033","No","Kapiti Coast District Council","","High"
"","8 -10","","8","","Beach ","Road","","Paekakariki","Kapiti Coast","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","04/12/2018","Not determined","04/12/2033","No","Kapiti Coast District Council","","High"
"","","","49","","Main","Street","","Otaki","Kapiti Coast","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Otaki Museum","","","","","","","","","","EPB notice","06/09/2018","0% to less than 20%","06/09/2033","No","Kapiti Coast District Council","Historic place category 2","High"
"","","","1","","Main","Street","","Otaki","Kapiti Coast","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","04/12/2018","Not determined","04/12/2033","No","Kapiti Coast District Council","","High"
"","","","9","","Rimu","Street","","Otaki","Kapiti Coast","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","04/12/2018","Not determined","04/12/2033","No","Kapiti Coast District Council","","High"
"","","","76","","Aotaki","Street","","Otaki","Kapiti Coast","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","04/12/2018","Not determined","04/12/2033","No","Kapiti Coast District Council","","High"
"","14 & 16","","","","Titoki ","Street","","Otaki","Kapiti Coast","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","06/12/2018","Not determined","06/12/2033","No","Kapiti Coast District Council","","High"
"","","","44","","Seaview Road","","","Seaview","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Building B","","","","","","","","","","EPB notice","21/11/2018","Not determined","21/11/2033","No","Hutt City Council","","High"
"","","","68","","Duke","Street","","","Cambridge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Masonic Hotel","","","","","","","","","","EPB notice","27/07/2018","0% to less than 20%","27/01/2031","Yes","Waipa District Council","Historic place category 2","Medium"
"","","","8","","Horlor","Street","","Naenae","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","06/10/2008","","06/10/2023","No","Hutt City Council","","High"
"","","","476","","Jackson","Street","","Petone","Lower Hutt","","","","478","","Jackson","Street","","Petone","Lower Hutt","","","","480","","Jackson","Street","","Petone","Lower Hutt","","","","482","","Jackson","Street","","Petone","Lower Hutt","","","","484","","Jackson","Street","","Petone","Lower Hutt","","","","486","","Jackson","Street","","Petone","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unilever - Building 26","","","","","","","","","","EPB notice","08/10/2008","","08/10/2023","No","Hutt City Council","","High"
"","","","6","","Armidale","Street","","Petone","Lower Hutt","","","","4","","Armidale","Street","","Petone","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","29/09/2008","","29/09/2023","No","Hutt City Council","","High"
"","","","4","","Te Puni","Street","","Petone","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","15/10/2008","","15/10/2023","No","Hutt City Council","","High"
"","","","27","","Dudley","Street","","Hutt Central","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Streatham Chambers","","","","","","","","","","EPB notice","29/09/2008","","29/09/2023","No","Hutt City Council","","High"
"","","","44","","Seaview Road","","","Seaview","Lower Hutt","","","","44","","Seaview Road","","","Seaview","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Building A","","","","","","","","","","EPB notice","21/11/2018","Not determined","21/11/2033","No","Hutt City Council","","High"
"","","","198","","Gracefield","Road","","Gracefield","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","20/11/2018","Not determined","20/11/2033","No","Hutt City Council","","High"
"","","","71","","The Esplanade","","","Petone","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","20/11/2018","Not determined","20/11/2033","No","Hutt City Council","","High"
"","","","4","","The Square","","","","Palmerston North","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PNCC Library","","","","","","","","","","EPB notice","14/12/2018","Not determined","14/12/2033","No","Palmerston North City Council","","High"
"","","","60","","Main","Road","","","Waikanae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","05/12/2018","Not determined","05/12/2033","No","Kapiti Coast District Council","","High"
"","","","22","","High","Street","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","30/11/2018","20% to less than 34%","30/11/2053","No","Auckland Council","Scheduled by the TA","Low"
"","","","154","","Beach","Road","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","30/11/2018","20% to less than 34%","30/11/2053","No","Auckland Council","","Low"
"","","","154","","Beach","Road","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","30/11/2018","20% to less than 34%","30/11/2053","No","Auckland Council","","Low"
"","","","32","","Anzac","Avenue","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","30/11/2018","20% to less than 34%","30/11/2053","No","Auckland Council","Scheduled by the TA","Low"
"","","","57","","Lorne","Street","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/11/2018","0% to less than 20%","26/11/2053","No","Auckland Council","Scheduled by the TA","Low"
"","","","57","","Lorne","Street","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/11/2018","0% to less than 20%","26/11/2053","No","Auckland Council","Scheduled by the TA","Low"
"","","","32","","Lorne","Street","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/11/2018","20% to less than 34%","26/11/2053","No","Auckland Council","Scheduled by the TA","Low"
"","","","28","","Lorne","Street","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/11/2018","0% to less than 20%","26/11/2053","No","Auckland Council","Scheduled by the TA","Low"
"","","","6","","Kingston","Street","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/11/2018","0% to less than 20%","26/11/2053","No","Auckland Council","Scheduled by the TA","Low"
"","","","18","","High","Street","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/11/2018","20% to less than 34%","26/11/2053","No","Auckland Council","Scheduled by the TA","Low"
"","","","16","","High","Street","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/11/2018","20% to less than 34%","26/11/2053","No","Auckland Council","Scheduled by the TA","Low"
"","","","38","","Hamer","Street","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/11/2018","20% to less than 34%","26/11/2053","No","Auckland Council","Scheduled by the TA","Low"
"","","","26","","Hamer","Street","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/11/2018","20% to less than 34%","26/11/2053","No","Auckland Council","Scheduled by the TA","Low"
"","","","124","","Halsey","Street","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/11/2018","0% to less than 20%","26/11/2053","No","Auckland Council","Scheduled by the TA","Low"
"","","","9","","Gore","Street","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","18/10/2018","20% to less than 34%","18/10/2053","No","Auckland Council","Scheduled by the TA","Low"
"","","","17","","Galatos","Street","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/11/2018","0% to less than 20%","26/11/2053","No","Auckland Council","Scheduled by the TA","Low"
"","","","14","","Galatos","Street","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/11/2018","20% to less than 34%","26/11/2053","No","Auckland Council","Scheduled by the TA","Low"
"","","","11","","Galatos","Street","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/11/2018","20% to less than 34%","26/11/2053","No","Auckland Council","","Low"
"","","","10","","Galatos","Street","","Newton","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/11/2018","0% to less than 20%","26/11/2053","No","Auckland Council","Scheduled by the TA","Low"
"","","","40","","Fort","Street","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/11/2018","0% to less than 20%","26/11/2053","No","Auckland Council","Scheduled by the TA","Low"
"","","","28","","Fort","Street","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/11/2018","0% to less than 20%","26/11/2053","No","Auckland Council","Scheduled by the TA","Low"
"","","","201","","Federal","Street","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/11/2018","20% to less than 34%","26/11/2053","No","Auckland Council","Scheduled by the TA","Low"
"","","","128","","Fanshawe","Street","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/11/2018","20% to less than 34%","26/11/2053","No","Auckland Council","","Low"
"","","","30","","Fanshawe","Street","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","26/11/2018","0% to less than 20%","26/11/2053","No","Auckland Council","Scheduled by the TA","Low"
"","","","13","","Commerce","Street","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","23/11/2018","20% to less than 34%","23/11/2053","No","Auckland Council","","Low"
"","","","8","","Darby","Street","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","23/11/2018","0% to less than 20%","23/11/2053","No","Auckland Council","Scheduled by the TA","Low"
"","","","5","","Edinburgh","Street","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","23/11/2018","0% to less than 20%","23/11/2053","No","Auckland Council","Historic place category 1","Low"
"","","","18","","Drake","Street","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","23/11/2018","20% to less than 34%","23/11/2053","No","Auckland Council","","Low"
"","","","14","","Drake","Street","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","23/11/2018","20% to less than 34%","23/11/2053","No","Auckland Council","","Low"
"","","","20","","East","Street","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","23/11/2018","0% to less than 20%","23/11/2053","No","Auckland Council","","Low"
"","","","2","","Edinburgh","Street","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","23/11/2018","20% to less than 34%","23/11/2053","No","Auckland Council","","Low"
"","","","16","","Fort","Street","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","23/11/2018","20% to less than 34%","23/11/2053","No","Auckland Council","Scheduled by the TA","Low"
"","","","16","","Fort","Street","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","23/11/2018","20% to less than 34%","23/11/2053","No","Auckland Council","Scheduled by the TA","Low"
"","","","12","","Edinburgh","Street","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","23/11/2018","20% to less than 34%","23/11/2053","No","Auckland Council","","Low"
"","","","14","","Edinburgh","Street","","Auckland Central","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","23/11/2018","20% to less than 34%","23/11/2053","No","Auckland Council","","Low"
"","","","10","","Whitby","Way","","","Wakefield","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Wakefield Village Hall","","","","","","","","","","EPB notice","23/11/2018","0% to less than 20%","20/11/2043","No","Tasman District Council","","Medium"
"","","","10","","Daly","Street","","Hutt Central","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","21/11/2018","Not determined","21/11/2033","No","Hutt City Council","","High"
"","","","18","","Frost","Road","","Mount Roskill","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","21/11/2018","20% to less than 34%","21/11/2053","No","Auckland Council","","Low"
"","","","18","","Frost","Road","","Mount Roskill","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","21/11/2018","20% to less than 34%","21/11/2053","No","Auckland Council","","Low"
"","","","43","","Carr","Road","","Three Kings","Auckland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","21/11/2018","20% to less than 34%","21/11/2053","No","Auckland Council","","Low"
